
 ============================>     TALLY 1     <============================

 Mesh Index (1, 1, 1)
   Incoming Energy [0.0, 6.25000E-06)
       Y1,-1 Flux Moment                    6.70540E-05    +/- 4.30581E-05
       Y1,0 Flux Moment                     -1.29366E-03   +/- 9.00803E-07
       Y1,1 Flux Moment                     -2.31236E-05   +/- 4.31768E-05
       Y2,-2 Flux Moment                    1.93035E-05    +/- 3.34775E-05
       Y2,-1 Flux Moment                    -3.70043E-06   +/- 4.35384E-06
       Y2,0 Flux Moment                     2.07401E-03    +/- 3.07673E-05
       Y2,1 Flux Moment                     4.22310E-06    +/- 4.36343E-06
       Y2,2 Flux Moment                     2.09760E-05    +/- 3.40227E-05
       Y3,-3 Flux Moment                    4.02625E-05    +/- 2.94185E-05
       Y3,-2 Flux Moment                    4.60039E-06    +/- 4.31809E-06
       Y3,-1 Flux Moment                    6.19902E-07    +/- 2.56867E-05
       Y3,0 Flux Moment                     5.54246E-04    +/- 3.36779E-06
       Y3,1 Flux Moment                     1.37882E-05    +/- 2.51378E-05
       Y3,2 Flux Moment                     -1.79174E-06   +/- 4.27180E-06
       Y3,3 Flux Moment                     8.03153E-06    +/- 2.88770E-05
       Y0,0 Total Reaction Rate Moment      0.572012       +/- 5.41160E-05
       Y1,-1 Total Reaction Rate Moment     2.61669E-05    +/- 2.22119E-05
       Y1,0 Total Reaction Rate Moment      -1.57955E-03   +/- 4.30231E-06
       Y1,1 Total Reaction Rate Moment      -1.73083E-05   +/- 2.21908E-05
       Y2,-2 Total Reaction Rate Moment     3.04886E-06    +/- 1.72883E-05
       Y2,-1 Total Reaction Rate Moment     -1.93242E-06   +/- 4.36068E-06
       Y2,0 Total Reaction Rate Moment      3.12030E-03    +/- 1.59278E-05
       Y2,1 Total Reaction Rate Moment      -7.49971E-07   +/- 4.37259E-06
       Y2,2 Total Reaction Rate Moment      1.40891E-05    +/- 1.74822E-05
       Y3,-3 Total Reaction Rate Moment     1.12453E-05    +/- 1.51920E-05
       Y3,-2 Total Reaction Rate Moment     -3.77065E-06   +/- 3.98563E-06
       Y3,-1 Total Reaction Rate Moment     -3.49113E-06   +/- 1.32412E-05
       Y3,0 Total Reaction Rate Moment      4.77800E-04    +/- 3.58484E-06
       Y3,1 Total Reaction Rate Moment      1.70064E-05    +/- 1.29547E-05
       Y3,2 Total Reaction Rate Moment      2.76308E-08    +/- 4.01834E-06
       Y3,3 Total Reaction Rate Moment      4.69473E-06    +/- 1.49061E-05
   Incoming Energy [5.00000E-02, 20.0000)
     Total Material
       Y0,0 Flux Moment                     2.15363        +/- 1.61724E-04
       Y1,-1 Flux Moment                    1.92207E-04    +/- 7.68820E-05
       Y1,0 Flux Moment                     4.50860E-03    +/- 1.78430E-06
       Y1,1 Flux Moment                     -5.28236E-05   +/- 7.75187E-05
       Y2,-2 Flux Moment                    -3.27564E-05   +/- 5.51302E-05
       Y2,-1 Flux Moment                    -1.48579E-05   +/- 4.93247E-06
       Y2,0 Flux Moment                     -1.35890E-02   +/- 5.31801E-05
       Y2,1 Flux Moment                     -3.40646E-06   +/- 4.91939E-06
       Y2,2 Flux Moment                     -4.53703E-05   +/- 5.60013E-05
       Y3,-3 Flux Moment                    4.41436E-05    +/- 4.74246E-05
       Y3,-2 Flux Moment                    -2.36253E-06   +/- 5.16942E-06
       Y3,-1 Flux Moment                    -1.90633E-06   +/- 4.26823E-05
       Y3,0 Flux Moment                     -2.58327E-03   +/- 3.98360E-06
       Y3,1 Flux Moment                     3.28285E-05    +/- 4.31558E-05
       Y3,2 Flux Moment                     3.56882E-07    +/- 5.06349E-06
       Y3,3 Flux Moment                     7.44820E-05    +/- 4.75476E-05
       Y0,0 Total Reaction Rate Moment      0.775910       +/- 5.89386E-05
       Y1,-1 Total Reaction Rate Moment     5.68343E-05    +/- 2.66436E-05
       Y1,0 Total Reaction Rate Moment      1.54427E-03    +/- 6.81636E-07
       Y1,1 Total Reaction Rate Moment      -2.48543E-05   +/- 2.68296E-05
       Y2,-2 Total Reaction Rate Moment     -1.16585E-05   +/- 1.93906E-05
       Y2,-1 Total Reaction Rate Moment     -5.48165E-06   +/- 1.98911E-06
       Y2,0 Total Reaction Rate Moment      -4.61128E-03   +/- 1.85218E-05
       Y2,1 Total Reaction Rate Moment      -1.30137E-06   +/- 1.98404E-06
       Y2,2 Total Reaction Rate Moment      -8.68372E-06   +/- 1.96041E-05
       Y3,-3 Total Reaction Rate Moment     1.69907E-05    +/- 1.67789E-05
       Y3,-2 Total Reaction Rate Moment     -6.00619E-07   +/- 2.09997E-06
